Global Loss,Global Acc,Mean Local Loss,Mean Local Acc,Client_0_Acc,Client_1_Acc,Client_2_Acc,Client_3_Acc,Client_4_Acc,Client_5_Acc,Client_6_Acc,Client_7_Acc,Client_8_Acc,Client_9_Acc,Client_10_Acc,Client_11_Acc,Client_12_Acc,Client_13_Acc,Client_14_Acc,Client_15_Acc,Client_16_Acc,Client_17_Acc,Client_18_Acc,Client_19_Acc,Client_20_Acc,Client_21_Acc,Client_22_Acc,Client_23_Acc,Client_24_Acc,Client_25_Acc,Client_26_Acc,Client_27_Acc,Client_28_Acc,Client_29_Acc,Client_30_Acc,Client_31_Acc,Client_32_Acc,Client_33_Acc,Client_34_Acc,Client_35_Acc,Client_36_Acc,Client_37_Acc,Client_38_Acc,Client_39_Acc,Client_40_Acc,Client_41_Acc,Client_42_Acc,Client_43_Acc,Client_44_Acc,Client_45_Acc,Client_46_Acc,Client_47_Acc,Client_48_Acc,Client_49_Acc,Client_50_Acc,Client_51_Acc,Client_52_Acc,Client_53_Acc,Client_54_Acc,Client_55_Acc,Client_56_Acc,Client_57_Acc,Client_58_Acc,Client_59_Acc,Client_60_Acc,Client_61_Acc,Client_62_Acc,Client_63_Acc,Client_64_Acc,Client_65_Acc,Client_66_Acc,Client_67_Acc,Client_68_Acc,Client_69_Acc,Client_70_Acc,Client_71_Acc,Client_72_Acc,Client_73_Acc,Client_74_Acc,Client_75_Acc,Client_76_Acc,Client_77_Acc,Client_78_Acc,Client_79_Acc,Client_80_Acc,Client_81_Acc,Client_82_Acc,Client_83_Acc,Client_84_Acc,Client_85_Acc,Client_86_Acc,Client_87_Acc,Client_88_Acc,Client_89_Acc,Client_90_Acc,Client_91_Acc,Client_92_Acc,Client_93_Acc,Client_94_Acc,Client_95_Acc,Client_96_Acc,Client_97_Acc,Client_98_Acc,Client_99_Acc,Round Params,Round Bytes,Avg Params,Avg Bytes
2.3019827826238184,0.11991110213152843,1.7832,0.5741,0.567,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5534,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5263,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5172,-1.0,-1.0,-1.0,-1.0,0.5287,-1.0,-1.0,-1.0,-1.0,-1.0,0.5789,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6146,-1.0,-1.0,-1.0,0.5876,0.68,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5876,-1.0,-1.0,-1.0,-1.0,41575580,166302320,41575580,166302320
2.310022383052203,0.09990908172542681,1.2958,0.5342,0.567,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.567,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5534,-1.0,-1.0,-1.0,-1.0,-1.0,0.4727,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5263,-1.0,0.5169,-1.0,-1.0,0.5699,-1.0,-1.0,0.5172,-1.0,-1.0,-1.0,-1.0,0.5287,-1.0,-1.0,-1.0,0.5393,-1.0,0.5789,-1.0,-1.0,-1.0,-1.0,0.5243,-1.0,0.5794,-1.0,0.5091,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5104,-1.0,-1.0,-1.0,0.5876,0.68,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5876,-1.0,-1.0,-1.0,-1.0,41575580,166302320,41575580,166302320
2.3554882067528045,0.09990908172542681,0.8655,0.5792,0.567,-1.0,-1.0,-1.0,0.4949,0.5941,0.6458,-1.0,-1.0,-1.0,-1.0,-1.0,0.567,-1.0,-1.0,-1.0,0.6636,-1.0,-1.0,-1.0,0.5534,-1.0,-1.0,-1.0,-1.0,-1.0,0.4727,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5263,-1.0,0.5169,0.6531,-1.0,0.5699,-1.0,-1.0,0.5172,-1.0,-1.0,-1.0,-1.0,0.5287,-1.0,-1.0,-1.0,0.5393,-1.0,0.5789,-1.0,-1.0,0.5182,-1.0,0.5243,-1.0,0.5794,-1.0,0.5091,-1.0,0.5138,-1.0,-1.0,-1.0,0.5152,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5104,-1.0,-1.0,0.6058,0.5876,0.68,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5876,-1.0,-1.0,-1.0,-1.0,41575580,166302320,41575580,166302320
2.429706615225837,0.09990908172542681,0.6495,0.6246,0.567,-1.0,0.7255,-1.0,0.4949,0.5941,0.7604,-1.0,-1.0,-1.0,-1.0,-1.0,0.567,-1.0,-1.0,-1.0,0.6636,-1.0,-1.0,-1.0,0.5534,-1.0,-1.0,-1.0,-1.0,-1.0,0.6818,-1.0,-1.0,-1.0,-1.0,-1.0,0.6211,0.5391,-1.0,-1.0,0.58,-1.0,-1.0,-1.0,0.5263,-1.0,0.5169,0.6531,-1.0,0.5699,-1.0,-1.0,0.5172,-1.0,-1.0,0.7604,-1.0,0.5287,-1.0,-1.0,-1.0,0.5393,-1.0,0.4632,-1.0,-1.0,0.5182,-1.0,0.5243,-1.0,0.5794,-1.0,0.5091,-1.0,0.5138,-1.0,-1.0,-1.0,0.5859,-1.0,-1.0,-1.0,-1.0,-1.0,0.5287,0.5104,-1.0,-1.0,0.6058,0.5876,0.68,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5876,-1.0,-1.0,-1.0,-1.0,41575580,166302320,41575580,166302320
3.2934162151646116,0.10011112233558946,0.706,0.5914,0.567,-1.0,0.7255,-1.0,0.4949,0.6238,0.7604,-1.0,-1.0,-1.0,-1.0,-1.0,0.567,-1.0,-1.0,-1.0,0.6636,-1.0,-1.0,0.4316,0.5534,0.537,-1.0,-1.0,0.5,-1.0,0.6818,-1.0,-1.0,-1.0,-1.0,-1.0,0.5684,0.5391,-1.0,-1.0,0.58,-1.0,0.5408,-1.0,0.5263,-1.0,0.5169,0.6531,-1.0,0.5699,-1.0,-1.0,0.5172,-1.0,-1.0,0.7604,-1.0,0.5287,-1.0,-1.0,-1.0,0.5393,-1.0,0.4632,-1.0,0.7685,0.5182,0.79,0.5243,-1.0,0.5794,-1.0,0.5091,-1.0,0.5138,-1.0,-1.0,-1.0,0.5859,-1.0,-1.0,-1.0,0.6452,-1.0,0.5287,0.5104,-1.0,-1.0,0.6058,0.5876,0.68,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5876,-1.0,-1.0,-1.0,-1.0,41575580,166302320,41575580,166302320
2.8818044916091874,0.1027376502677038,0.6704,0.5797,0.567,0.5652,0.7255,-1.0,0.4949,0.6238,0.7604,-1.0,-1.0,-1.0,-1.0,-1.0,0.567,-1.0,-1.0,-1.0,0.6636,-1.0,-1.0,0.4316,0.5534,0.537,-1.0,-1.0,0.5,-1.0,0.6818,-1.0,-1.0,-1.0,0.581,-1.0,0.5263,0.5391,0.6238,-1.0,0.58,-1.0,0.5408,-1.0,0.5263,-1.0,0.5169,0.6531,-1.0,0.5699,-1.0,-1.0,0.5172,-1.0,-1.0,0.7604,-1.0,0.5287,-1.0,-1.0,-1.0,0.5393,-1.0,0.4632,-1.0,0.6759,0.5182,0.79,0.5243,-1.0,0.5794,-1.0,0.5091,-1.0,0.5138,-1.0,-1.0,-1.0,0.5859,-1.0,-1.0,-1.0,0.6452,-1.0,0.5287,0.5104,-1.0,-1.0,0.6058,0.5876,0.68,0.5208,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5876,-1.0,-1.0,-1.0,0.6979,41575580,166302320,41575580,166302320
3.1459742561231083,0.14688352358824125,0.5988,0.6679,0.6082,0.5652,0.7255,-1.0,0.4949,0.6238,0.7604,-1.0,-1.0,-1.0,0.7143,-1.0,0.567,-1.0,-1.0,0.75,0.6636,-1.0,-1.0,0.4316,0.5534,0.537,-1.0,-1.0,0.5,-1.0,0.6818,-1.0,-1.0,-1.0,0.581,-1.0,0.5263,0.5391,0.6238,-1.0,0.58,-1.0,0.5408,-1.0,0.5263,-1.0,0.5169,0.6531,-1.0,0.5699,-1.0,-1.0,0.5172,-1.0,-1.0,0.7604,-1.0,0.5287,-1.0,-1.0,-1.0,0.5393,-1.0,0.4632,-1.0,0.8056,0.5182,0.79,0.5243,-1.0,0.5794,-1.0,0.5091,0.4889,0.5138,-1.0,-1.0,0.6782,0.5859,-1.0,-1.0,-1.0,0.6452,0.7614,0.5287,0.5104,-1.0,0.4528,0.6058,0.5876,0.76,0.5208,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6598,-1.0,-1.0,-1.0,0.6979,41575580,166302320,41575580,166302320
3.020871829524138,0.1414284271138499,0.7108,0.6063,0.6082,0.5652,0.7255,-1.0,0.4949,0.6238,0.7604,0.5402,0.5588,-1.0,0.7143,-1.0,0.567,-1.0,-1.0,0.75,0.6636,-1.0,-1.0,0.4316,0.5534,0.537,-1.0,0.5588,0.5,0.7788,0.6818,-1.0,-1.0,-1.0,0.581,-1.0,0.5263,0.5391,0.6238,-1.0,0.58,-1.0,0.5408,-1.0,0.5263,-1.0,0.5169,0.6531,-1.0,0.5699,-1.0,-1.0,0.5172,-1.0,0.6484,0.7604,-1.0,0.5287,-1.0,-1.0,-1.0,0.5393,-1.0,0.4632,-1.0,0.8056,0.5545,0.79,0.5243,-1.0,0.5794,-1.0,0.5091,0.4889,0.5138,-1.0,-1.0,0.6782,0.5859,-1.0,-1.0,-1.0,0.5699,0.7614,0.5287,0.5104,-1.0,0.7453,0.6058,0.5876,0.76,0.4792,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6598,0.6286,-1.0,-1.0,0.6979,41575580,166302320,41575580,166302320
3.381266751293221,0.10011112233558946,0.8556,0.6367,0.6082,0.5652,0.7255,-1.0,0.4949,0.6238,0.7604,0.5402,0.5588,0.4954,0.7582,-1.0,0.567,-1.0,-1.0,0.75,0.7477,-1.0,-1.0,0.4316,0.5534,0.537,-1.0,0.5588,0.5,0.7788,0.6818,-1.0,-1.0,-1.0,0.581,-1.0,0.5263,0.5391,0.6238,-1.0,0.58,-1.0,0.5408,-1.0,0.5263,-1.0,0.5169,0.6531,-1.0,0.5699,-1.0,-1.0,0.5172,-1.0,0.7143,0.7604,-1.0,0.5287,-1.0,0.7527,-1.0,0.5393,-1.0,0.4632,-1.0,0.8056,0.5545,0.79,0.5243,-1.0,0.5794,-1.0,0.5091,0.4889,0.5138,-1.0,-1.0,0.6782,0.5859,-1.0,-1.0,-1.0,0.5699,0.5341,0.5287,0.6146,-1.0,0.7453,0.6058,0.5876,0.76,0.4792,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6947,0.6598,0.6286,-1.0,-1.0,0.6979,41575580,166302320,41575580,166302320
2.297855651141393,0.11789069602990201,0.6813,0.6222,0.6082,0.5652,0.7255,0.6632,0.4949,0.6238,0.7604,0.5402,0.6078,0.4954,0.7582,-1.0,0.567,-1.0,-1.0,0.75,0.7477,-1.0,-1.0,0.4316,0.5534,0.537,-1.0,0.5588,0.5,0.7788,0.6818,-1.0,-1.0,-1.0,0.581,-1.0,0.5263,0.5391,0.6238,0.5965,0.58,-1.0,0.5408,-1.0,0.5263,-1.0,0.5169,0.6531,-1.0,0.5699,-1.0,-1.0,0.5172,-1.0,0.7143,0.7604,-1.0,0.5862,-1.0,0.7527,-1.0,0.5393,-1.0,0.4632,-1.0,0.7407,0.5182,0.79,0.5243,-1.0,0.5794,-1.0,0.5091,0.4889,0.5138,-1.0,-1.0,0.6782,0.5859,-1.0,-1.0,-1.0,0.5699,0.5341,0.5287,0.6146,-1.0,0.7453,0.5,0.5876,0.76,0.4792,0.6176,-1.0,-1.0,-1.0,-1.0,-1.0,0.6947,0.6598,0.6286,-1.0,-1.0,0.6771,41575580,166302320,41575580,166302320
