Global Loss,Global Acc,Mean Local Loss,Mean Local Acc,Client_0_Acc,Client_1_Acc,Client_2_Acc,Client_3_Acc,Client_4_Acc,Client_5_Acc,Client_6_Acc,Client_7_Acc,Client_8_Acc,Client_9_Acc,Client_10_Acc,Client_11_Acc,Client_12_Acc,Client_13_Acc,Client_14_Acc,Client_15_Acc,Client_16_Acc,Client_17_Acc,Client_18_Acc,Client_19_Acc,Client_20_Acc,Client_21_Acc,Client_22_Acc,Client_23_Acc,Client_24_Acc,Client_25_Acc,Client_26_Acc,Client_27_Acc,Client_28_Acc,Client_29_Acc,Client_30_Acc,Client_31_Acc,Client_32_Acc,Client_33_Acc,Client_34_Acc,Client_35_Acc,Client_36_Acc,Client_37_Acc,Client_38_Acc,Client_39_Acc,Client_40_Acc,Client_41_Acc,Client_42_Acc,Client_43_Acc,Client_44_Acc,Client_45_Acc,Client_46_Acc,Client_47_Acc,Client_48_Acc,Client_49_Acc,Client_50_Acc,Client_51_Acc,Client_52_Acc,Client_53_Acc,Client_54_Acc,Client_55_Acc,Client_56_Acc,Client_57_Acc,Client_58_Acc,Client_59_Acc,Client_60_Acc,Client_61_Acc,Client_62_Acc,Client_63_Acc,Client_64_Acc,Client_65_Acc,Client_66_Acc,Client_67_Acc,Client_68_Acc,Client_69_Acc,Client_70_Acc,Client_71_Acc,Client_72_Acc,Client_73_Acc,Client_74_Acc,Client_75_Acc,Client_76_Acc,Client_77_Acc,Client_78_Acc,Client_79_Acc,Client_80_Acc,Client_81_Acc,Client_82_Acc,Client_83_Acc,Client_84_Acc,Client_85_Acc,Client_86_Acc,Client_87_Acc,Client_88_Acc,Client_89_Acc,Client_90_Acc,Client_91_Acc,Client_92_Acc,Client_93_Acc,Client_94_Acc,Client_95_Acc,Client_96_Acc,Client_97_Acc,Client_98_Acc,Client_99_Acc,Round Params,Round Bytes,Avg Params,Avg Bytes
2.3030932087623204,0.10576825942014345,0.8646,0.6273,0.4948,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6214,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7632,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6207,-1.0,-1.0,-1.0,-1.0,0.6782,-1.0,-1.0,-1.0,-1.0,-1.0,0.5789,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5729,-1.0,-1.0,-1.0,0.4124,0.84,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6907,-1.0,-1.0,-1.0,-1.0,41493660,165974640,41493660,165974640
2.583891127359772,0.09990908172542681,0.8362,0.5775,0.4948,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5052,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5534,-1.0,-1.0,-1.0,-1.0,-1.0,0.4727,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7632,-1.0,0.7416,-1.0,-1.0,0.6344,-1.0,-1.0,0.6207,-1.0,-1.0,-1.0,-1.0,0.6782,-1.0,-1.0,-1.0,0.7079,-1.0,0.5789,-1.0,-1.0,-1.0,-1.0,0.5243,-1.0,0.5794,-1.0,0.5455,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5104,-1.0,-1.0,-1.0,0.4124,0.84,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6907,-1.0,-1.0,-1.0,-1.0,41493660,165974640,41493660,165974640
2.367155374475339,0.09990908172542681,0.6924,0.6595,0.4948,-1.0,-1.0,-1.0,0.5051,0.802,0.7812,-1.0,-1.0,-1.0,-1.0,-1.0,0.5052,-1.0,-1.0,-1.0,0.8037,-1.0,-1.0,-1.0,0.5534,-1.0,-1.0,-1.0,-1.0,-1.0,0.4727,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7632,-1.0,0.7416,0.7041,-1.0,0.6344,-1.0,-1.0,0.6207,-1.0,-1.0,-1.0,-1.0,0.6782,-1.0,-1.0,-1.0,0.7079,-1.0,0.5789,-1.0,-1.0,0.5182,-1.0,0.5243,-1.0,0.5794,-1.0,0.5455,-1.0,0.6055,-1.0,-1.0,-1.0,0.6566,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5104,-1.0,-1.0,0.5385,0.6804,0.84,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6907,-1.0,-1.0,-1.0,-1.0,41493660,165974640,41493660,165974640
2.3365416697557917,0.10011112233558946,0.5973,0.7161,0.4948,-1.0,0.8431,-1.0,0.5051,0.802,0.8333,-1.0,-1.0,-1.0,-1.0,-1.0,0.5052,-1.0,-1.0,-1.0,0.8037,-1.0,-1.0,-1.0,0.5534,-1.0,-1.0,-1.0,-1.0,-1.0,0.7091,-1.0,-1.0,-1.0,-1.0,-1.0,0.6842,0.6783,-1.0,-1.0,0.62,-1.0,-1.0,-1.0,0.7632,-1.0,0.7416,0.7041,-1.0,0.6344,-1.0,-1.0,0.6207,-1.0,-1.0,0.7917,-1.0,0.6782,-1.0,-1.0,-1.0,0.7079,-1.0,0.6421,-1.0,-1.0,0.5182,-1.0,0.5243,-1.0,0.5794,-1.0,0.5455,-1.0,0.6055,-1.0,-1.0,-1.0,0.6465,-1.0,-1.0,-1.0,-1.0,-1.0,0.7126,0.5104,-1.0,-1.0,0.5385,0.6804,0.84,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6907,-1.0,-1.0,-1.0,-1.0,41493660,165974640,41493660,165974640
2.6309800381997173,0.10021214264067077,0.6278,0.6659,0.4948,-1.0,0.8431,-1.0,0.5051,0.7723,0.8333,-1.0,-1.0,-1.0,-1.0,-1.0,0.5052,-1.0,-1.0,-1.0,0.8037,-1.0,-1.0,0.7053,0.5534,0.537,-1.0,-1.0,0.6477,-1.0,0.7091,-1.0,-1.0,-1.0,-1.0,-1.0,0.6105,0.6783,-1.0,-1.0,0.62,-1.0,0.6429,-1.0,0.7632,-1.0,0.7416,0.7041,-1.0,0.6344,-1.0,-1.0,0.6207,-1.0,-1.0,0.7917,-1.0,0.6782,-1.0,-1.0,-1.0,0.7079,-1.0,0.6421,-1.0,0.75,0.5182,0.85,0.5243,-1.0,0.5794,-1.0,0.5091,-1.0,0.6055,-1.0,-1.0,-1.0,0.6465,-1.0,-1.0,-1.0,0.6344,-1.0,0.7126,0.5104,-1.0,-1.0,0.5385,0.6804,0.84,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6907,-1.0,-1.0,-1.0,-1.0,41493660,165974640,41493660,165974640
2.585688623301561,0.15839983836751187,0.6054,0.6729,0.4948,0.6522,0.8431,-1.0,0.5051,0.7723,0.8333,-1.0,-1.0,-1.0,-1.0,-1.0,0.5979,-1.0,-1.0,-1.0,0.8037,-1.0,-1.0,0.7053,0.5534,0.537,-1.0,-1.0,0.6477,-1.0,0.7091,-1.0,-1.0,-1.0,0.6857,-1.0,0.6,0.6783,0.6832,-1.0,0.62,-1.0,0.6429,-1.0,0.7632,-1.0,0.7416,0.7041,-1.0,0.6344,-1.0,-1.0,0.6207,-1.0,-1.0,0.7917,-1.0,0.6782,-1.0,-1.0,-1.0,0.7079,-1.0,0.6421,-1.0,0.7593,0.5182,0.85,0.5243,-1.0,0.5794,-1.0,0.5091,-1.0,0.6055,-1.0,-1.0,-1.0,0.6465,-1.0,-1.0,-1.0,0.6344,-1.0,0.6782,0.5938,-1.0,-1.0,0.5385,0.6804,0.84,0.7292,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6907,-1.0,-1.0,-1.0,0.75,41493660,165974640,41493660,165974640
2.6146136202563155,0.15132841701181937,0.4934,0.7744,0.7423,0.6522,0.8431,-1.0,0.5051,0.7723,0.8333,-1.0,-1.0,-1.0,0.9011,-1.0,0.5979,-1.0,-1.0,0.7609,0.8037,-1.0,-1.0,0.7053,0.5534,0.537,-1.0,-1.0,0.6477,-1.0,0.7091,-1.0,-1.0,-1.0,0.6857,-1.0,0.6,0.6783,0.6832,-1.0,0.62,-1.0,0.6429,-1.0,0.7632,-1.0,0.7416,0.7041,-1.0,0.6344,-1.0,-1.0,0.6207,-1.0,-1.0,0.7917,-1.0,0.6782,-1.0,-1.0,-1.0,0.7079,-1.0,0.6421,-1.0,0.7778,0.5182,0.85,0.5243,-1.0,0.5794,-1.0,0.5091,0.6333,0.6055,-1.0,-1.0,0.7816,0.6465,-1.0,-1.0,-1.0,0.6344,0.9318,0.6782,0.5938,-1.0,0.6132,0.5385,0.6804,0.86,0.7292,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7423,-1.0,-1.0,-1.0,0.75,41493660,165974640,41493660,165974640
2.5878191443209286,0.16971411253661986,0.5974,0.6989,0.7423,0.6522,0.8431,-1.0,0.5051,0.7723,0.8333,0.7126,0.5196,-1.0,0.9011,-1.0,0.5979,-1.0,-1.0,0.7609,0.8037,-1.0,-1.0,0.7053,0.5534,0.537,-1.0,0.7941,0.6477,0.8077,0.7091,-1.0,-1.0,-1.0,0.6857,-1.0,0.6,0.6783,0.6832,-1.0,0.62,-1.0,0.6429,-1.0,0.7632,-1.0,0.7416,0.7041,-1.0,0.6344,-1.0,-1.0,0.6207,-1.0,0.8022,0.7917,-1.0,0.6782,-1.0,-1.0,-1.0,0.7079,-1.0,0.6421,-1.0,0.7778,0.5182,0.85,0.5243,-1.0,0.5794,-1.0,0.5091,0.6333,0.6055,-1.0,-1.0,0.7816,0.6465,-1.0,-1.0,-1.0,0.6344,0.9318,0.6782,0.5938,-1.0,0.783,0.5385,0.6804,0.86,0.7604,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7423,0.6571,-1.0,-1.0,0.75,41493660,165974640,41493660,165974640
3.103392723233113,0.10152540660672796,0.6122,0.7063,0.7423,0.6522,0.8431,-1.0,0.5051,0.7723,0.8333,0.7126,0.5196,0.4954,0.8571,-1.0,0.5979,-1.0,-1.0,0.7609,0.785,-1.0,-1.0,0.7053,0.5534,0.537,-1.0,0.7941,0.6477,0.8077,0.7091,-1.0,-1.0,-1.0,0.6857,-1.0,0.6632,0.6783,0.6832,-1.0,0.62,-1.0,0.6429,-1.0,0.7632,-1.0,0.7416,0.7041,-1.0,0.6344,-1.0,-1.0,0.6207,-1.0,0.7143,0.7917,-1.0,0.6782,-1.0,0.828,-1.0,0.7079,-1.0,0.6421,-1.0,0.7778,0.5182,0.85,0.5243,-1.0,0.5794,-1.0,0.5091,0.6333,0.6055,-1.0,-1.0,0.7816,0.6465,-1.0,-1.0,-1.0,0.6344,0.8977,0.7011,0.5312,-1.0,0.783,0.5385,0.6804,0.86,0.7604,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5895,0.7423,0.6571,-1.0,-1.0,0.75,41493660,165974640,41493660,165974640
2.26678453073175,0.12294171128396808,0.571,0.7088,0.7423,0.6522,0.8431,0.7789,0.5051,0.7723,0.8333,0.7126,0.598,0.4954,0.8571,-1.0,0.5979,-1.0,-1.0,0.7609,0.785,-1.0,-1.0,0.7053,0.5534,0.537,-1.0,0.7941,0.6477,0.8077,0.7091,-1.0,-1.0,-1.0,0.6857,-1.0,0.6632,0.6783,0.6832,0.7632,0.62,-1.0,0.6429,-1.0,0.7632,-1.0,0.7416,0.7041,-1.0,0.6344,-1.0,-1.0,0.6207,-1.0,0.8132,0.7917,-1.0,0.6897,-1.0,0.828,-1.0,0.7079,-1.0,0.6421,-1.0,0.7778,0.5364,0.85,0.5243,-1.0,0.5794,-1.0,0.5091,0.6333,0.6055,-1.0,-1.0,0.7816,0.6465,-1.0,-1.0,-1.0,0.6344,0.8977,0.7011,0.5312,-1.0,0.783,0.625,0.6804,0.86,0.7604,0.7451,-1.0,-1.0,-1.0,-1.0,-1.0,0.5895,0.7423,0.6571,-1.0,-1.0,0.7604,41493660,165974640,41493660,165974640
